City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Gamba,GA,74.97,overcast clouds,-2.65,10.0,
1,San Patricio,US,84.92,clear sky,28.017,-97.5169,
4,Zhanakorgan,KZ,78.84,clear sky,43.9098,67.2495,
5,Waddan,LY,76.48,clear sky,29.1614,16.139,
6,Arraial Do Cabo,BR,72.97,broken clouds,-22.9661,-42.0278,
8,Altamira,BR,76.57,overcast clouds,-3.2033,-52.2064,
12,Manta,EC,73.18,overcast clouds,-0.95,-80.7333,
14,Rikitea,PF,76.5,overcast clouds,-23.1203,-134.9692,
16,Kavieng,PG,83.32,light rain,-2.5744,150.7967,
18,Puerto Ayora,EC,71.55,moderate rain,-0.7393,-90.3518,
22,Kapaa,US,84.18,clear sky,22.0752,-159.319,
25,Samarai,PG,77.56,overcast clouds,-10.6167,150.6667,
26,Biak,ID,81.59,overcast clouds,-0.9131,122.8766,
28,Cherskiy,RU,70.47,broken clouds,68.75,161.3,
30,Avarua,CK,75.25,light rain,-21.2078,-159.775,
31,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,
33,Tual,ID,81.59,overcast clouds,-5.6667,132.75,
37,Yeppoon,AU,73.18,few clouds,-23.1333,150.7333,
38,Atuona,PF,80.01,few clouds,-9.8,-139.0333,
40,Phayao,TH,75.45,overcast clouds,19.25,100.25,
41,Katghora,IN,85.98,clear sky,22.5,82.55,
42,Praia,CV,77.54,few clouds,14.9215,-23.5087,
43,Male,MV,82.74,overcast clouds,4.1748,73.5089,
44,Carutapera,BR,74.35,scattered clouds,-1.195,-46.02,
46,Hithadhoo,MV,82.87,clear sky,-0.6,73.0833,
47,Bull Savanna,JM,77.32,clear sky,17.8868,-77.5902,
49,Manavgat,TR,73.83,clear sky,36.7867,31.4431,
50,Porto Novo,BJ,78.71,scattered clouds,6.4965,2.6036,
51,Dingle,PH,82.92,overcast clouds,10.9995,122.6711,
52,Lompoc,US,72.01,overcast clouds,34.6391,-120.4579,
57,Hanchuan,CN,86.11,overcast clouds,30.65,113.7667,
59,Riacho De Santana,BR,71.53,broken clouds,-13.6092,-42.9389,
60,Baruun-Urt,MN,74.48,scattered clouds,46.6806,113.2792,
68,Jamestown,US,74.84,clear sky,42.097,-79.2353,
71,Butaritari,KI,82.89,light rain,3.0707,172.7902,
73,Palauig,PH,85.14,overcast clouds,15.435,119.9045,
74,Kupang,ID,82.98,few clouds,-10.1667,123.5833,
75,Riberalta,BO,73.99,clear sky,-10.9833,-66.1,
78,Sabla,NG,83.21,overcast clouds,12.7525,4.7077,
79,Urubicha,BO,73.62,broken clouds,-15.3833,-62.95,
81,Meulaboh,ID,76.06,overcast clouds,4.1363,96.1285,
82,Sabya,SA,85.24,clear sky,17.1495,42.6254,
84,Hengshui,CN,83.91,light rain,37.7322,115.7011,
85,Havelock,US,77.95,scattered clouds,34.8791,-76.9013,
87,Vao,NC,70.0,few clouds,-22.6667,167.4833,
88,Sinjar,IQ,73.15,clear sky,36.3209,41.8754,
90,Worland,US,90.88,clear sky,44.0169,-107.9554,
91,Solano,US,91.89,clear sky,38.2333,-121.9511,
92,Gizo,SB,84.31,broken clouds,-8.103,156.8419,
94,Baracoa,CU,79.39,broken clouds,20.3467,-74.4958,
101,Robertsport,LR,80.49,moderate rain,6.7533,-11.3686,
103,Nisia Floresta,BR,76.01,clear sky,-6.0911,-35.2086,
105,Buraydah,SA,86.09,overcast clouds,26.326,43.975,
107,Tura,IN,74.75,broken clouds,25.5198,90.2201,
108,Sambava,MG,71.13,scattered clouds,-14.2667,50.1667,
111,Tessalit,ML,91.62,clear sky,20.1986,1.0114,
112,Souillac,MU,71.37,light rain,-20.5167,57.5167,
117,Syracuse,IT,72.9,overcast clouds,37.0881,15.2792,
118,Kalmunai,LK,80.46,overcast clouds,7.4167,81.8167,
122,Salinas,US,74.86,clear sky,36.6777,-121.6555,
123,Kisangani,CD,70.29,light rain,0.5167,25.2,
124,Hilo,US,83.28,overcast clouds,19.7297,-155.09,
128,Fort-Shevchenko,KZ,70.0,overcast clouds,44.5086,50.263,
129,Port Blair,IN,84.61,overcast clouds,11.6667,92.75,
133,Balkanabat,TM,72.27,clear sky,39.5108,54.3671,
137,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,
138,Qena,EG,78.94,clear sky,26.1615,32.7183,
141,Albany,US,77.92,scattered clouds,42.6001,-73.9662,
143,Vaini,TO,77.16,broken clouds,-21.2,-175.2,
144,Durant,US,76.91,moderate rain,33.994,-96.3708,
145,Arawa,PG,86.67,few clouds,-6.2132,155.5367,
146,Victoria,HK,84.96,broken clouds,22.2855,114.1577,
148,Jamame,SO,73.96,broken clouds,0.0722,42.7506,
149,Bethel,US,80.65,broken clouds,41.3712,-73.414,
151,Kirakira,SB,82.31,few clouds,-10.4544,161.9205,
153,Sur,OM,82.56,clear sky,22.5667,59.5289,
154,Piacabucu,BR,73.81,few clouds,-10.4056,-36.4344,
155,Lobito,AO,73.74,scattered clouds,-12.3481,13.5456,
158,Jardim,BR,75.85,broken clouds,-21.4803,-56.1381,
162,Redlands,US,90.93,few clouds,34.0556,-117.1825,
163,Poum,NC,73.96,overcast clouds,-20.2333,164.0167,
165,Chemin Grenier,MU,70.57,light rain,-20.4872,57.4656,
169,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,
170,Santa Rosa,PH,89.58,broken clouds,14.3122,121.1114,
171,Bud,US,76.91,overcast clouds,39.447,-86.1758,
179,Olinda,BR,73.13,scattered clouds,-8.0089,-34.8553,
180,Shieli,KZ,77.07,clear sky,44.1667,66.75,
186,Saint-Pierre,RE,71.28,light rain,-21.3393,55.4781,
196,Bengkulu,ID,76.87,scattered clouds,-3.8004,102.2655,
198,Pangpang,PH,86.38,overcast clouds,15.9394,120.3092,
199,Hsinchu,TW,85.98,overcast clouds,24.8036,120.9686,
201,Axim,GH,78.69,few clouds,4.8699,-2.2405,
204,Tiffin,US,82.42,overcast clouds,41.1145,-83.178,
207,Bathsheba,BB,79.83,broken clouds,13.2167,-59.5167,
209,Avera,US,75.07,light rain,33.194,-82.5271,
210,Nanpiao,CN,76.21,overcast clouds,41.0982,120.7479,
214,Culpeper,US,81.97,scattered clouds,38.5004,-77.9664,
218,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,
222,Kahului,US,86.02,scattered clouds,20.8947,-156.47,
223,Chumphon,TH,71.71,light rain,10.3333,98.8333,
224,Hirado,JP,72.36,overcast clouds,33.3597,129.5531,
229,Mahebourg,MU,71.26,light rain,-20.4081,57.7,
230,Port Hedland,AU,80.65,scattered clouds,-20.3167,118.5667,
233,Bembereke,BJ,72.9,broken clouds,10.2283,2.6634,
234,Raymond,US,82.35,scattered clouds,43.9015,-70.4703,
235,Hamilton,US,76.75,few clouds,39.1834,-84.5333,
236,Moa,CU,78.49,few clouds,20.6569,-74.9403,
237,Ternate,ID,83.35,scattered clouds,0.8,127.4,
239,Waingapu,ID,82.83,overcast clouds,-9.6567,120.2641,
242,Dzhebariki-Khaya,RU,70.07,overcast clouds,62.2167,135.8,
243,Bom Jesus,BR,72.72,overcast clouds,-9.0744,-44.3586,
247,Riyadh,SA,89.74,clear sky,24.6877,46.7219,
249,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,
250,Aguada De Pasajeros,CU,75.34,light rain,22.385,-80.8508,
251,Quatre Cocos,MU,71.1,scattered clouds,-20.2078,57.7625,
253,Watari,JP,75.54,overcast clouds,38.035,140.8511,
256,Palmer,US,81.01,few clouds,42.1584,-72.3287,
258,Bharatpur,IN,92.68,scattered clouds,27.2167,77.4833,
259,Dawlatabad,AF,83.44,clear sky,36.4141,64.9053,
261,Thunder Bay,CA,71.51,clear sky,48.4001,-89.3168,
262,Salalah,OM,84.29,broken clouds,17.0151,54.0924,
264,Pore,CO,71.02,overcast clouds,5.7272,-71.9947,
265,Caravelas,BR,72.68,scattered clouds,-17.7125,-39.2481,
269,Nishihara,JP,76.66,moderate rain,26.1842,127.7558,
270,Morro Bay,US,70.18,scattered clouds,35.3658,-120.8499,
272,Cockburn Town,TC,79.88,few clouds,21.4612,-71.1419,
273,Mitsamiouli,KM,78.35,clear sky,-11.3847,43.2844,
274,Grand Gaube,MU,71.38,few clouds,-20.0064,57.6608,
275,Zaltan,LY,79.88,overcast clouds,32.947,11.8665,
280,Manati,PR,80.19,overcast clouds,18.4275,-66.4921,
282,Wanlaweyn,SO,74.1,few clouds,2.6185,44.8938,
286,Namibe,AO,75.29,clear sky,-15.1961,12.1522,
289,Najran,SA,77.74,overcast clouds,17.4924,44.1277,
293,Luba,GQ,77.56,overcast clouds,3.4568,8.5547,
294,Aswan,EG,81.32,clear sky,24.0934,32.907,
298,Lahij,YE,83.5,scattered clouds,13.1667,44.5833,
299,Georgetown,MY,82.89,few clouds,5.4112,100.3354,
300,Mazagao,BR,78.85,few clouds,-0.115,-51.2894,
303,Bentiu,SS,76.89,few clouds,9.2333,29.8333,
304,Nouakchott,MR,75.13,clear sky,18.0858,-15.9785,
306,Atar,MR,92.21,clear sky,20.5169,-13.0499,
308,Wahiawa,US,80.92,broken clouds,21.5028,-158.0236,
309,Faanui,PF,81.57,broken clouds,-16.4833,-151.75,
316,Ardakan,IR,88.18,clear sky,32.31,54.0175,
318,Moroni,KM,76.3,broken clouds,-11.7022,43.2551,
321,Hirara,JP,79.5,overcast clouds,24.8,125.2833,
324,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,
325,Rodrigues Alves,BR,72.5,overcast clouds,-7.738,-72.6509,
326,Tabas,IR,90.59,clear sky,33.5959,56.9244,
328,Isangel,VU,75.29,overcast clouds,-19.55,169.2667,
329,Byron Bay,AU,71.06,clear sky,-28.65,153.6167,
334,Wazirabad,PK,87.78,clear sky,32.4458,74.1159,
335,Duncan,US,80.82,broken clouds,34.5023,-97.9578,
336,Susangerd,IR,90.57,clear sky,31.5608,48.1831,
338,Hambantota,LK,75.54,clear sky,6.1241,81.1185,
339,Siguiri,GN,83.5,scattered clouds,11.6667,-9.5,
340,Angoche,MZ,72.1,broken clouds,-16.2325,39.9086,
342,Ormara,PK,83.48,overcast clouds,25.2088,64.6357,
345,Mayo,US,86.07,clear sky,38.8876,-76.5119,
346,Sao Joao Da Barra,BR,73.83,overcast clouds,-21.6403,-41.0511,
347,Kavaratti,IN,81.93,overcast clouds,10.5669,72.642,
348,Pontes E Lacerda,BR,79.88,overcast clouds,-15.2261,-59.3353,
349,Marrakesh,MA,77.07,scattered clouds,31.6315,-8.0083,
354,Kanniyakumari,IN,80.37,broken clouds,8.0833,77.5667,
355,Shenzhen,CN,84.85,overcast clouds,22.5455,114.0683,
357,Hailar,CN,71.64,clear sky,49.2,119.7,
362,San Clemente,US,77.56,broken clouds,33.427,-117.612,
365,Bayonet Point,US,83.98,overcast clouds,28.3267,-82.6834,
373,Isabela,PH,86.05,overcast clouds,6.7085,121.9711,
376,Erenhot,CN,75.11,broken clouds,43.6475,111.9767,
378,Athmallik,IN,87.44,few clouds,20.7219,84.5348,
382,Dogondoutchi,NE,86.52,overcast clouds,13.6393,4.0287,
383,Adrar,MR,91.24,clear sky,20.5022,-10.0711,
385,San Jose,US,79.72,few clouds,37.3394,-121.895,
386,Winslow,US,89.96,clear sky,35.0242,-110.6974,
390,Clarksburg,US,79.25,clear sky,39.2807,-80.3445,
391,Kananga,CD,73.2,overcast clouds,-5.8958,22.4178,
394,Touros,BR,76.1,clear sky,-5.1989,-35.4608,
397,Portales,US,84.02,overcast clouds,34.1862,-103.3344,
