City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gamba,GA,-2.65,10.0,74.97,96,100,5.73,overcast clouds
1,San Patricio,US,28.017,-97.5169,84.92,85,2,14.09,clear sky
2,Ushuaia,AR,-54.8,-68.3,42.46,65,40,20.71,scattered clouds
3,Cape Town,ZA,-33.9258,18.4232,68.34,34,2,15.37,clear sky
4,Zhanakorgan,KZ,43.9098,67.2495,78.84,43,0,4.29,clear sky
5,Waddan,LY,29.1614,16.139,76.48,25,0,9.46,clear sky
6,Arraial Do Cabo,BR,-22.9661,-42.0278,72.97,88,69,14.61,broken clouds
7,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,11.18,clear sky
8,Altamira,BR,-3.2033,-52.2064,76.57,84,100,2.04,overcast clouds
9,Lebu,CL,-37.6167,-73.65,47.52,83,93,6.87,overcast clouds
10,Ribeira Grande,PT,38.5167,-28.7,64.85,89,100,8.97,overcast clouds
11,San Javier,ES,37.8063,-0.8374,68.13,82,0,2.3,clear sky
12,Manta,EC,-0.95,-80.7333,73.18,83,90,10.36,overcast clouds
13,Havre-Saint-Pierre,CA,50.2334,-63.5986,47.82,74,100,7.49,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,76.5,85,100,16.64,overcast clouds
15,Vilyuysk,RU,63.7553,121.6247,47.07,83,100,11.05,light rain
16,Kavieng,PG,-2.5744,150.7967,83.32,71,12,6.08,light rain
17,Walvis Bay,NA,-22.9575,14.5053,70.09,31,0,13.8,clear sky
18,Puerto Ayora,EC,-0.7393,-90.3518,71.55,97,35,8.99,moderate rain
19,Port Elizabeth,ZA,-33.918,25.5701,57.49,41,0,9.22,clear sky
20,Khani,GE,41.9563,42.9566,40.57,94,5,3.06,clear sky
21,Cidreira,BR,-30.1811,-50.2056,62.96,76,100,10.78,overcast clouds
22,Kapaa,US,22.0752,-159.319,84.18,73,6,3.0,clear sky
23,Klaksvik,FO,62.2266,-6.589,49.12,98,100,8.01,overcast clouds
24,Ahipara,NZ,-35.1667,173.1667,62.29,86,100,10.11,light rain
25,Samarai,PG,-10.6167,150.6667,77.56,91,100,15.46,overcast clouds
26,Biak,ID,-0.9131,122.8766,81.59,67,100,4.63,overcast clouds
27,Tuktoyaktuk,CA,69.4541,-133.0374,37.47,72,20,13.13,few clouds
28,Cherskiy,RU,68.75,161.3,70.47,33,59,20.67,broken clouds
29,Fethiye,TR,36.6217,29.1164,58.87,37,15,5.55,few clouds
30,Avarua,CK,-21.2078,-159.775,75.25,69,90,2.3,light rain
31,Makakilo City,US,21.3469,-158.0858,82.72,52,75,11.5,broken clouds
32,Mehamn,NO,71.0357,27.8492,40.46,68,1,4.27,clear sky
33,Tual,ID,-5.6667,132.75,81.59,79,100,14.16,overcast clouds
34,Saskylakh,RU,71.9167,114.0833,41.47,50,99,6.71,overcast clouds
35,Port Alfred,ZA,-33.5906,26.891,62.92,36,0,9.78,clear sky
36,Yellowknife,CA,62.456,-114.3525,48.33,56,100,5.99,overcast clouds
37,Yeppoon,AU,-23.1333,150.7333,73.18,64,20,10.65,few clouds
38,Atuona,PF,-9.8,-139.0333,80.01,64,22,7.25,few clouds
39,Dikson,RU,73.5069,80.5464,30.16,90,100,14.09,overcast clouds
40,Phayao,TH,19.25,100.25,75.45,93,100,3.15,overcast clouds
41,Katghora,IN,22.5,82.55,85.98,48,7,1.95,clear sky
42,Praia,CV,14.9215,-23.5087,77.54,47,20,21.85,few clouds
43,Male,MV,4.1748,73.5089,82.74,74,100,16.42,overcast clouds
44,Carutapera,BR,-1.195,-46.02,74.35,94,33,4.43,scattered clouds
45,Urengoy,RU,65.9667,78.3667,38.43,64,32,10.13,scattered clouds
46,Hithadhoo,MV,-0.6,73.0833,82.87,73,2,12.55,clear sky
47,Bull Savanna,JM,17.8868,-77.5902,77.32,76,6,10.38,clear sky
48,Airai,TL,-8.9266,125.4092,68.04,57,93,2.98,overcast clouds
49,Manavgat,TR,36.7867,31.4431,73.83,46,0,3.31,clear sky
50,Porto Novo,BJ,6.4965,2.6036,78.71,84,45,6.33,scattered clouds
51,Dingle,PH,10.9995,122.6711,82.92,72,99,3.83,overcast clouds
52,Lompoc,US,34.6391,-120.4579,72.01,76,90,11.01,overcast clouds
53,Chuy,UY,-33.6971,-53.4616,50.23,79,9,6.44,clear sky
54,Barrow,US,71.2906,-156.7887,32.02,86,90,14.97,overcast clouds
55,Yugorsk,RU,61.3133,63.3319,47.44,47,100,5.14,overcast clouds
56,Hobart,AU,-42.8794,147.3294,62.22,55,75,8.01,broken clouds
57,Hanchuan,CN,30.65,113.7667,86.11,54,100,2.17,overcast clouds
58,Mataura,NZ,-46.1927,168.8643,49.48,65,0,3.78,clear sky
59,Riacho De Santana,BR,-13.6092,-42.9389,71.53,63,62,8.81,broken clouds
60,Baruun-Urt,MN,46.6806,113.2792,74.48,36,41,15.14,scattered clouds
61,Narsaq,GL,60.9167,-46.05,53.82,76,100,3.53,overcast clouds
62,Xining,CN,36.6167,101.7667,55.89,60,25,1.99,scattered clouds
63,Luderitz,NA,-26.6481,15.1594,67.51,31,0,14.76,clear sky
64,Pevek,RU,69.7008,170.3133,49.06,62,4,12.06,clear sky
65,Shakhovskaya,RU,56.0283,35.5097,54.28,90,98,3.49,overcast clouds
66,Wum,CM,6.3833,10.0667,64.35,97,99,3.27,light rain
67,Castro,BR,-24.7911,-50.0119,61.05,69,100,3.09,light rain
68,Jamestown,US,42.097,-79.2353,74.84,64,1,8.05,clear sky
69,Longyearbyen,SJ,78.2186,15.6401,35.44,80,0,5.75,clear sky
70,Tasiilaq,GL,65.6145,-37.6368,39.36,89,90,4.38,overcast clouds
71,Butaritari,KI,3.0707,172.7902,82.89,72,17,8.5,light rain
72,Esperance,AU,-33.8667,121.9,58.84,59,100,27.69,overcast clouds
73,Palauig,PH,15.435,119.9045,85.14,70,99,9.13,overcast clouds
74,Kupang,ID,-10.1667,123.5833,82.98,65,20,16.11,few clouds
75,Riberalta,BO,-10.9833,-66.1,73.99,86,5,2.35,clear sky
76,Nuuk,GL,64.1835,-51.7216,41.61,100,90,5.75,mist
77,Yar-Sale,RU,66.8333,70.8333,37.72,66,73,11.59,broken clouds
78,Sabla,NG,12.7525,4.7077,83.21,54,100,5.97,overcast clouds
79,Urubicha,BO,-15.3833,-62.95,73.62,69,78,1.7,broken clouds
80,Mackenzie,CA,55.2999,-123.1698,60.19,32,100,4.79,overcast clouds
81,Meulaboh,ID,4.1363,96.1285,76.06,85,100,4.61,overcast clouds
82,Sabya,SA,17.1495,42.6254,85.24,68,6,4.43,clear sky
83,Khatanga,RU,71.9667,102.5,36.23,76,98,8.77,overcast clouds
84,Hengshui,CN,37.7322,115.7011,83.91,32,100,6.2,light rain
85,Havelock,US,34.8791,-76.9013,77.95,89,40,4.0,scattered clouds
86,Pareora,NZ,-44.4871,171.2132,51.19,95,100,1.9,overcast clouds
87,Vao,NC,-22.6667,167.4833,70.0,63,22,15.64,few clouds
88,Sinjar,IQ,36.3209,41.8754,73.15,21,0,7.0,clear sky
89,Mount Darwin,ZW,-16.7725,31.5838,47.48,93,17,3.04,few clouds
90,Worland,US,44.0169,-107.9554,90.88,17,1,8.99,clear sky
91,Solano,US,38.2333,-121.9511,91.89,32,1,24.16,clear sky
92,Gizo,SB,-8.103,156.8419,84.31,70,67,4.59,broken clouds
93,Sioux Lookout,CA,50.1001,-91.917,68.02,70,62,10.27,broken clouds
94,Baracoa,CU,20.3467,-74.4958,79.39,81,65,12.86,broken clouds
95,Qaanaaq,GL,77.484,-69.3632,40.12,74,57,5.95,broken clouds
96,Tupaciguara,BR,-18.5922,-48.705,69.19,47,100,1.5,overcast clouds
97,Busselton,AU,-33.65,115.3333,50.04,69,7,4.76,clear sky
98,Glubokiy,RU,48.5217,40.3258,54.57,92,97,6.33,light rain
99,Umkomaas,ZA,-30.2067,30.7978,56.68,72,0,10.0,clear sky
100,Viamao,BR,-30.0811,-51.0233,59.68,87,75,8.1,broken clouds
101,Robertsport,LR,6.7533,-11.3686,80.49,83,100,8.37,moderate rain
102,Nikolsk,RU,53.7189,46.0712,52.95,94,37,2.66,scattered clouds
103,Nisia Floresta,BR,-6.0911,-35.2086,76.01,93,4,8.14,clear sky
104,Ekibastuz,KZ,51.6667,75.3667,65.35,34,4,2.64,clear sky
105,Buraydah,SA,26.326,43.975,86.09,12,90,10.6,overcast clouds
106,Saldanha,ZA,-33.0117,17.9442,67.32,37,0,27.89,clear sky
107,Tura,IN,25.5198,90.2201,74.75,95,52,6.35,broken clouds
108,Sambava,MG,-14.2667,50.1667,71.13,86,32,11.63,scattered clouds
109,Kaoma,ZM,-14.7833,24.8,47.53,80,27,5.95,scattered clouds
110,San Isidro,PE,-12.1167,-77.05,64.26,88,90,9.95,overcast clouds
111,Tessalit,ML,20.1986,1.0114,91.62,11,0,6.4,clear sky
112,Souillac,MU,-20.5167,57.5167,71.37,83,96,13.02,light rain
113,Codrington,AU,-38.2667,141.9667,60.82,56,100,24.67,overcast clouds
114,Kargasok,RU,59.0556,80.8572,49.6,81,100,9.22,overcast clouds
115,Constitucion,CL,-35.3333,-72.4167,51.93,68,100,5.64,light rain
116,Talara,PE,-4.5772,-81.2719,68.04,84,100,12.93,overcast clouds
117,Syracuse,IT,37.0881,15.2792,72.9,58,100,7.38,overcast clouds
118,Kalmunai,LK,7.4167,81.8167,80.46,77,93,3.44,overcast clouds
119,Ilulissat,GL,69.2167,-51.1,37.42,87,0,2.3,clear sky
120,Nikolskoye,RU,59.7035,30.7861,57.09,89,96,3.22,overcast clouds
121,Fortuna,US,40.5982,-124.1573,68.18,62,1,7.0,clear sky
122,Salinas,US,36.6777,-121.6555,74.86,60,1,12.66,clear sky
123,Kisangani,CD,0.5167,25.2,70.29,99,100,1.72,light rain
124,Hilo,US,19.7297,-155.09,83.28,71,90,13.8,overcast clouds
