City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.7826,147.0587,58.87,74,100,1.99,AU,2021-06-06 23:35:20
1,Georgetown,5.4112,100.3354,80.53,92,20,2.3,MY,2021-06-06 23:37:48
2,Dikson,73.5069,80.5464,29.91,91,99,12.91,RU,2021-06-06 23:38:28
3,Lebu,-37.6167,-73.65,48.51,80,92,5.91,CL,2021-06-06 23:36:58
4,Mataura,-46.1927,168.8643,49.48,70,49,4.09,NZ,2021-06-06 23:36:44
5,San Quintin,30.4833,-115.95,65.25,65,12,11.5,MX,2021-06-06 23:38:29
6,Punta Arenas,-53.15,-70.9167,41.11,81,0,10.25,CL,2021-06-06 23:36:42
7,Hermanus,-34.4187,19.2345,66.9,44,1,11.52,ZA,2021-06-06 23:38:29
8,Knysna,-34.0363,23.0471,73.78,26,2,11.79,ZA,2021-06-06 23:37:34
9,Marawi,7.9986,124.2928,74.07,78,99,1.88,PH,2021-06-06 23:34:15
10,Lata,40.1629,-8.3327,59.81,93,0,1.66,PT,2021-06-06 23:38:30
11,Port Hardy,50.6996,-127.4199,55.58,76,75,11.5,CA,2021-06-06 23:38:30
12,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,74.88,95,98,0.45,BR,2021-06-06 23:35:33
13,Banda Aceh,5.5577,95.3222,79.27,74,100,12.5,ID,2021-06-06 23:38:30
14,Barrow,71.2906,-156.7887,32.02,86,90,13.8,US,2021-06-06 23:35:11
15,Busselton,-33.65,115.3333,46.09,78,0,7.25,AU,2021-06-06 23:32:37
16,Vardo,70.3705,31.1107,39.15,73,6,0.45,NO,2021-06-06 23:35:54
17,Norman Wells,65.282,-126.8329,50.04,66,75,0.0,CA,2021-06-06 23:32:37
18,Sorland,67.667,12.6934,51.46,88,99,8.14,NO,2021-06-06 23:38:31
19,Rawson,-43.3002,-65.1023,48.78,53,48,19.98,AR,2021-06-06 23:36:00
20,Drayton Valley,53.2168,-114.9854,60.91,53,81,9.53,CA,2021-06-06 23:38:33
21,Upernavik,72.7868,-56.1549,36.84,85,62,4.68,GL,2021-06-06 23:35:42
